community_id,community_name,wylie_name,tibetan,chinese,en_variants,bo_x_ewtx_variants,zh_hani_variants,sa_deva_variants,ru_cyrl_variants,mn_cyrl_variants,mn_mong_variants
292,Tolung Takma,stod lung thag ma,སྟོད་ལུང་ཐག་མ།,,,stod lung thag ma dgon,,,,,
293,Lhodrak Drowa Gon,lho brag sgro ba dgon,ལྷོ་བྲག་སྒྲོ་བ་དགོན།,,,,,,,,
294,Purbuchok,phur bu lcog,ཕུར་བུ་ལྕོག།,,Purchok; Purbuchog Ritro Jangchubling; Phurbuchok; pubujue si; pujue si,phur bu lcog ri khrod; byang chub gling; phur bu lcog ri khrod byang chub gling,普布觉寺; 普觉寺,,,,
295,Ngulchu Hermitage,dngul chu ri khrod,དངུལ་ཆུ་རི་ཁྲོད།,欧曲寺,Ngulchu Chodzong; ouqu si,dngul chu ri khrod; dngul chu chos rdzong,,,,,
296,Sekya Tashi Gepel Ling,se kyA bkra shis dge 'phel gling,སེ་ཀྱཱ་བཀྲ་ཤིས་དགེ་འཕེལ་གླིང་།,,,,色尔加寺,,,,
297,Sang Ngak Tekchen Choling,gsang sngags theg chen chos gling,གསང་སྣགས་ཐེག་ཆེན་ཆོས་གླིང་།,,,,,,,,
298,Dakpo Dratsang ,dwags po grwa tshang ,དྭགས་པོ་གྲྭ་ཚང་།,,Namrab Dakpo Dratsang; Dakpo Ganden Shedrub Ling,rnam rab dwags po grwa tshang; dwags po dga' ldan bshad sgrub gling; bshad sgrub bstan pa'i 'byung gnas mthong smon dwags po grwa tshang,,,,,
305,Rato,rwa stod,རྭ་སྟོད།,热堆寺,Rawa To; Rawa Me; Nyetang Dewachen; redui si,ra ba stod; rwa ba stod; ra ba smad; mnyes thang bde ba can,热堆寺,,,,
306,Nyetang Longdol Hermitage ,mnyes thang klong rdol ri khrod,མཉེས་ཐང་ཀློང་རྡོལ་རི་ཁྲོད།,,,,,,,,
307,Cheri Monastery,lcags ri,ལྕགས་རི།,,Chakri; Chagri; Chakri Dorjeden,,,,,,
308,Tango,rta mgo,རྟ་མགོ།,,Tamgo,rta mgo chos dbyings rdzong,,,,,
309,Bangri Jokpo ,bang ri 'jog po,བང་རི་འཇོག་པོ།,,,,,,,,
310,Dar Chode,dar chos sde,འདར་ཆོས་སྡེ།,,,,,,,,
311,Ladring Chode,bla 'bring chos sde,བླ་འབྲིང་ཆོས་སྡེ།,,,,,,,,
312,Nyima Tang Monastery ,nyi ma thang dgon,ཉི་མ་ཐང་དགོན།,,nimatang si,,尼玛汤寺,,,,
314,Khardo Hermitage,mkhar rdo ri khrod,མཁར་རྡོ་རི་ཁྲོད།,卡多寺,kaduo si,,卡多寺,,,,
315,Ganden Jangtse College ,dga' ldan byang rtse drwa tshang ,དགའ་ལྡན་བྱང་རྩེ་དྲྭ་ཚང་།,,Jangtse Dratsang,,,,,,
316,Gyuto Dratsang,rgyud stod grwa tshang ,རྒྱུད་སྟོད་གྲྭ་ཚང་།,,Gyuto College; Gyuto Monastery; Uto Jampel Ling,dpal ldan stod rgyud stod grwa tshang; dbus stod ‘jam dpal gling,,,,,
317,Takpu Chode,stag phu chos sde,སྟག་ཕུ་ཆོས་སྡེ།,,Takphu; Takpu; dapu si,stag phu rin chen sding dgon; dbus stod stag phu chos sde; stag phu dgon pa,达普寺,,,,
318,Meldro Chakar Gon,mal gro cha dkar dgon,མལ་གྲོ་ཆ་དཀར་དགོན།,,Kargya Gon,dkar rgya dgon,,,,,
319,Ganden Shartse College,dga' ldan shar rtse grwa tshang ,དགའ་ལྡན་ཤར་རྩེ་གྲྭ་ཚང་།,,Shartse Dratsang,,,,,,
321,Rakadrak Hermitage,ra kha brag ri khrod,ར་ཁ་བྲག་རི་ཁྲོད།,,Rakadrak Ritro; rekazha si,se ra byes kyi rag kha brag ri khrod,热喀扎寺,,,,
322,Sera Utse,se ra dbu rtse,སེ་ར་དབུ་རྩེ།,,Drubkhang Hermitage; Sera Utse Ritro; Sera Tse; Sera Peak,se ra dbu rtse ri khrod,,,,,
323,Drula,bru la,འབྲུ་ལ།,,Kongpo Drula Gon,,,,,,
324,Taktse Rinchen Gang,stag rtse rin chen sgang,སྟག་རྩེ་རིན་ཆེན་སྒང་།,,,,,,,,
325,Kyormolung ,skyor mo lung,སྐྱོར་མོ་ལུང་།,觉摩隆寺,juemolong si,,觉摩隆寺,,,,
326,Drakwar Monastery,brag dbar dgon,བྲག་དབར་དགོན།,,,,,,,,
327,Reting Monastery,rwa sgreng dgon,རྭ་སྒྲེང་དགོན།,热振寺,rezhen si,byang rwa sgreng; rwa bsgrengs; rgyal ba'i dben gnas; rwa sgreng rgyal ba'i dben gnas,热振寺,,,,
331,Nenang,gnas nang,གནས་ནང་།,,nailang si; nainang si,stod lung gnas nang dgon,乃朗寺; 乃囊寺; 奈囊寺,,,,
333,Ngamring Chode ,ngam ring chos sde,ངམ་རིང་ཆོས་སྡེ།,,Jang Namring; angren qude si,ngoms ring chos sde,昂仁曲德寺; 曲德寺,,,,
334,Riwo Dechen,ri bo bde chen,རི་བོ་བདེ་ཆེན།,,,,,,,,
335,Rinchen Drak,rin chen brag,རིན་ཆེན་བྲག།,,Dre Rinchen Drak,spras rin chen brag,,,,,
338,Tetung Monastery,te thung dgon chen,ཏེ་ཐུང་དགོན་ཆེན།,,Tethung Gonchen,,,,,,
339,Tangring Monastery,thang ring dgon pa,ཐང་རིང་དགོན་པ།,隆合寺,,,,,,,
340,Amdo Chubzang Monastery,chu bzang dgon,ཆུ་བཟང་དགོན།,,Amdo Chubzang; Chubzang Gon Ganden Migyur Ling; Chubzang Gon Tubten Rabgye Ling,chu bzang dgon dga' ldan mi 'gyur gling; chu bzang dgon thub bstan rab rgyas gling,,,,,
342,Drepung Gomang Dratsang,sgo mang grwa tshang ,སྒོ་མང་གྲྭ་ཚང་།,,Gomang Dratsang; Drepung Gomang College,,,,,,
343,Dechen Sangngak Khar,bde chen gsang sngags mkhar,བདེ་ཆེན་གསང་སྔགས་མཁར།,,Sangngak Khar,gsang sngags mkhar,,,,,
344,Tashilhunpo Shartse Dratsang,bkra shis lhun po shar rtse grwa tshang ,བཀྲ་ཤིས་ལྷུན་པོ་ཤར་རྩེ་གྲྭ་ཚང་།,,,,,,,,
345,Ganden Rinchen Ling,dga' ldan rin chen gling ,དགའ་ལྡན་རིན་ཆེན་གླིང་།,,Ganden Rinchenling; baobei si,,宝贝寺,,,,
346,Pari Tashi Choling ,dpa' ri bkra shis chos gling,དཔའ་རི་བཀྲ་ཤིས་ཆོས་གླིང་།,⽺官寺,,dpa' ris stong shag bkra shis chos gling,,,,,
347,Serlung Monastery ,ser lung dgon,སེར་ལུང་དགོན།,,,,,,,,
348,Sera Je,se ra byes,སེ་ར་བྱེས།,,Sera Je College; Sera Je Dratsang; Sera Jey; Seraje Dratsang,ser byes; byes grwa tshang,,,,,
349,Sera Me,se ra smad,སེ་ར་སྨད།,,Sera Me Dratsang; Sera Me Tratsang,,,,,,
350,Dromda Monastery,grom mda' dgon,གྲོམ་མདའ་དགོན།,,,,,,,,
351,Dab Yangteng Monastery,dab yang steng dgon,འདབ་ཡང་སྟེང་དགོན།,,Kham Dab Yangteng; Yangteng Monastery,ldab yang steng dgon; khams 'dabs yang steng dgon; yang steng ,,,,,
352,Toling Monastery,mtho lding dgon,མཐོ་ལྡིང་དགོན།,托林寺,Ngari Toding,mnga' ris mtho lding,,,,,
353,To Jayul Monastery,stod bya yul dgon pa,སྟོད་བྱ་ཡུལ་དགོན་པ།,,Jayul Gon,,,,,,
354,Chone Ganden Shedrub Ling,co ne dga' ldan bshad sgrub gling ,ཅོ་ནེ་དགའ་ལྡན་བཤད་སྒྲུབ་གླིང་།,卓尼丹丁寺,Chone; Chone Gonchen; Tingdzin Dargye Ling,ting 'dzin dar rgyas gling,,,,,
355,Drepung Loseling College,bras spungs blo gsal gling grwa tshang ,འབྲས་སྤུངས་བློ་གསལ་གླིང་གྲྭ་ཚང་།,,Loseling Dratsang,,,,,,
356,Genden Chopeling,dge ldan chos 'phel gling chos sde,དགེ་ལྡན་ཆོས་འཕེལ་གླིང་ཆོས་སྡེ།,,,,,,,,
357,Pakmo Chode,phag mo chos sde,ཕག་མོ་ཆོས་སྡེ།,,,,,,,,
358,Jakhyung Monastery,bya khyung dgon,བྱ་ཁྱུང་དགོན།,,Amdo Jakhyung; Jakhyung Tekchen Yonten Dargye Ling; xiaqong si; xiaqun si; xiachong si; shachong si,theg chen yon tan dar rgyas gling ,夏琼寺; 夏群寺; 夏冲寺; 沙冲寺,,,,
359,Rablo,rab lo,རབ་ལོ།,,,,,,,,
360,Tsador Monastery ,tsha rdor dgon,ཚ་རྡོར་དགོན།,,Tshador Gon; chadao-er si; zhaxi xianba nanjielin,tsha rdor dgon bkra shis byams pa rnam rgyal gling,岔道尔寺; 扎西贤巴南杰林,,,,
361,Shitsang Gonsar,shis tshang dgon gsar,ཤིས་ཚང་དགོན་གསར།,,,dga' ldan bshad sgrub chos 'khor gling,西仓新寺; 嘎丹谢珠曲科林,,,,
362,Ngulra Monastery,dngul rwa dgon,དངུལ་རྭ་དགོན།,,ola niantao si,dga' ldan dam chos kun rgyas gling; gnyan thog dgon dga' ldan dam chos kun rgyas gling; dngul rwa gnyan thog dgon; dga' ldan dam chos kun rgyas gling,欧拉念涛寺,,,,
363,Ganden Shedrub Pekar Drolwai Ling,dga' ldan bshad sgrub pad dkar grol ba'i gling,དགའ་ལྡན་བཤད་སྒྲུབ་པད་དཀར་གྲོལ་བའི་གླིང་།,,Taktsang Lhamo Ganden Shedrub Pekar Ling; Serchen Gompa; Sertri; Sertang,,,,,,
364,Tso Gon Ganden Choling ,gtsos dgon dge ldan chos gling,གཙོས་དགོན་དགེ་ལྡན་ཆོས་གླིང་།,,Tso Gon Genden Choling,gtsos dgon pa,合作寺; 黑错寺,,,,
365,Mokru Ganden Jampeling,rmog ru dgon dga' ldan byams 'phel gling ,རྨོག་རུ་དགོན་དགའ་ལྡན་བྱམས་འཕེལ་གླིང་།,,mengru si; mengru si gedan xiangpeilin,,蒙茹寺; 蒙茹寺格丹祥培林,,,,
367,Muge Tashikhorlo ,dmu dge bkra shis 'khor lo,དམུ་དགེ་བཀྲ་ཤིས་འཁོར་ལོ།,,mao-ergai si,dmu dge dgon,毛尔盖寺; 毛儿盖寺,,,,
368,Ngawa Gomang,rnga ba sgo mang,རྔ་བ་སྒོ་མང་།,,Ngayul Gomang; Ge mo si,rnga yul sgo mang; sgo mang sgar; bshad sgrub 'phel rgyas gling,各莫寺; 格莫寺,,,,
369,Gyeltang Sungtseling,rgyal thang dgon pa,རྒྱལ་ཐང་དགོན་པ།,,Gyaltang; Gyeltang Sungtseling; Gyeltang Sumtsenling; Gyeltang Sumtseling; Ganden Sumtsen Ling; Gedan Songzanlin,dga' ldan sum rtsen gling,,,,,
370,Evaṃ Monastery,e waM dgon; ,ཨེ་ཝཾ་དགོན༏་།,,Medro Gongkar Evam,,,,,,
371,Petseling Jangchub Pelri Monastery ,pad tshal gling byang chub dpal ri dgon pa,པད་ཚལ་གླིང་བྱང་ཆུབ་དཔལ་རི་དགོན་པ།,,Pedtsheling Goenpa,,,,,,
372,Dobi Ganden Pelgye Ling,rdo sbis dge ldan 'phel rgyas gling ,རྡོ་སྦིས་དགེ་ལྡན་འཕེལ་རྒྱས་གླིང་།,,Gori Dratsang; Dowi Gori Dratsang,dgo ri grwa tshang; rdo sbis dgo ri grwa tshang,瞿昙寺,,,,
373,Drotsang,gro tshang dgon,གྲོ་ཚང་དགོན།,,Drotsang Lhakhang Gautamde; Qutan Si; Gautama,gro tshang lha khang go tam sde,,,,,
374,Rongwo Monastery,rong bo thos bsam rnam rgyal gling,རོང་བོ་ཐོས་བསམ་རྣམ་རྒྱལ་གླིང་།,,Rongpo; Rongpo Monastery; Rongwo Tosam Namgyel Ling; Rongpo Gonchen Tosam Namgyaling; longwu si,,隆务寺; 隆务大乐法轮洲,,,,
375,Ditsa Tashi Choding ,d+hi tsha bkra shis chos sding ,དྷི་ཚ་བཀྲ་ཤིས་ཆོས་སྡིང་།,,Ditsa; Genden Tashi Choding,ldi tsha bkra shis chos sdings,,,,,
376,Wangdue Phodrang Dzong ,dbang 'dus pho brang rdzong,དབང་འདུས་ཕོ་བྲང་རྫོང་།,,Wangduephodrang Dzong; Wangdu Podrang Dzong; Wangdiphodrang,,,,,,
377,Talang ,rta glang ,རྟ་གླང་།,,,,,,,,
378,Tubten Jago Pungpo ,thub bstan bya rgod phung po,ཐུབ་བསྟན་བྱ་རྒོད་ཕུང་པོ།,,,,,,,,
380,Talo Sangngak Choling ,rta log gsang sngags chos gling ,རྟ་ལོག་གསང་སྔགས་ཆོས་གླིང་།,,Talok Sangngak Choling; Talo Monastery,,,,,,
381,Chitokha Puntsok Rabten Ling ,spyi to kha phun tshogs rab brtan gling,སྤྱི་ཏོ་ཁ་ཕུན་ཚོགས་རབ་བརྟན་གླིང་།,,Chitokha; Puntsok Rabten Ling,,,,,,
382,Gangteng Monastery ,sgang steng dgon pa,སྒང་སྟེང་དགོན་པ།,,Gangtey; Gangte,,,,,,
383,Trakar Lhakhang ,spra mkhar lha khang,སྤྲ་མཁར་ལྷ་ཁང་།,,Prakhar Goemba; Prakhar Ngatshang,,,,,,
384,Paro Lateng Monastery,spa gro la steng,སྤ་གྲོ་ལ་སྟེང་།,,,,,,,,
385,Tsamdrak Monastery ,mtshams brag dgon,མཚམས་བྲག་དགོན།,,,,,,,,
387,Tashichoedzong,bkra shis chos rdzong,བཀྲ་ཤིས་ཆོས་རྫོང་།,,Tashichho Dzong; Dechen Phodrang; Tashichodzong; Thimphu Dzong,bkra shis chos rdzong; thim phu dzong,,,,,
388,Lhundrub Deyang,lhun grub bde dbyangs,ལྷུན་དྲུབ་བདེ་དབྱངས།,,,,,,,,
389,Gongto Sergyi Lhakhang ,dgongs stod gser gyi lha khang,དགོངས་སྟོད་གསེར་གྱི་ལྷ་ཁང་།,,,,,,,,
390,Lhadzong Tashigang ,lha rdzong bkra shis sgang ,ལྷ་རྫོང་བཀྲ་ཤིས་སྒང་།,,,,,,,,
392,Gorina Kunang Osel Ling ,go ri na sku snang 'od gsal gling,གོ་རི་ན་སྐུ་སྣང་འོད་གསལ་གླིང་།,,Gorina; Gorina Kunnang Osel; Gorinang Kunnang Osel,go ri nang kun snang 'od gsal,,,,,
393,Kyichu Lhakhang ,skyid chu lha khang ,སྐྱིད་ཆུ་ལྷ་ཁང་།,,Kyerchu Lhakhang; xiguan si ,skyer chu,,,,,
395,Sechang ,se chang,སེ་ཆང་།,,,,,,,,
396,Shel Monastery,shel dgon,ཤེལ་དགོན།,,Dechen Chokyi Podrang; Shelgon Tashi Dzong,,西关寺,,,,
397,Dzoge Monastery ,mdzod dge dgon sar dga' ldan rab rgyas gling,མཛོད་དགེ་དགོན་སར་དགའ་ལྡན་རབ་རྒྱས་གླིང་།,,Taktsa; Dzoge Gonsar Ganden Rabgye Ling,stag tsha dgon pa,,,,,
398,Bido Gonchen,bis mdo dgon chen,བིས་མདོ་དགོན་ཆེན།,文都寺,Bimdo; Bindo; Bido Tashi Tosam Chokhor Ling,bkra shis thos bsam chos 'khor gling; bis mdo dgon chen bkra shis thos bsam chos 'khor gling,,,,,
399,Geting Ganden Choling ,sge sting dga ldan chos gling,སྒེ་སྟིང་དག་ལྡན་ཆོས་གླིང་།,,,,,,,,
400,Tamshing Lhakhang,gtam zhing lhun grub chos gling,གཏམ་ཞིང་ལྷུན་གྲུབ་ཆོས་གླིང་།,,Tamzhing Lhakhang; Tamzhing Lhundrup Choling,,,,,,
401,Lamo Dechen ,la mo bde chen ,ལ་མོ་བདེ་ཆེན་།,,deqian si,,德千寺,,,,
402,Taktsang Rawato ,stag tshang rwa ba stod,སྟག་ཚང་རྭ་བ་སྟོད།,,,,,,,,
403,Shardzong,shar dzong,ཤར་ཛོང་།,,,,,,,,
404,Drugu,gru gu dgon,གྲུ་གུ་དགོན།,珠古寺,Drugu Tang Drubde; Trugu; Zhugusi,tho gru gu dgon; gru gu thang sgrub sde,朱古寺,,,,
405,Punakha Dzong,spungs thang bde ba can,སྤུངས་ཐང་བདེ་བ་ཅན།,,Puntang Dewachen; Punakha,spu na kha,,,,,
406,Trongsa Dzong,krong gsar rdzong,ཀྲོང་གསར་རྫོང་།,,Choekhor Rabtentse Dzong; Chökhor Raptse Dzong,krong gsar chos 'khor rab brtan,,,,,
407,Karchen,dkar chen,དཀར་ཆེན།,,,dben gnas byams pa gling,嘎尔清寺; 在 宗教史要 中无相应的寺名,,,,
408,Jamyang Mawai Sengge Ling ,jam dbyangs smra ba'i seng ge gling,འཇམ་དབྱངས་སྨྲ་བའི་སེང་གེ་གླིང་།,,,,,,,,
409,Gyakhar ,rgya mkhar dgon,རྒྱ་མཁར་དགོན།,江河寺,Chepa Gyakhar; jianghe si,chas pa rgya mkhar dgon; bshad sgrub dar rgyas gling,江河寺,,,,
410,Urge Dratsang Sangngak Mingye Ling,urge grwa tshang gsang sngags smin rgyas gling ,ཨུརྒེ་གྲྭ་ཚང་གསང་སྔགས་སྨིན་རྒྱས་གླིང་།,,Urge Dratsang Sang Ngak Mingye Ling; Chogar Tashi Chodzong,,,,,,
411,Tongkhor Tashilhunpo,stong 'khor bkra shis lhun po,སྟོང་འཁོར་བཀྲ་ཤིས་ལྷུན་པོ།,,donggu si,khams stong 'khor dgon; gsang chen mi 'gyur rdo rje gling bkra shis lhun po,东谷寺; 东古寺,,,,
412,Derge Parkhang,sde dge par khang,སྡེ་དགེ་པར་ཁང་།,德格印经院,Derge Printing House; Dege Yinjing Yuan,sde dge par khang chos mdzod chen mo bkra shis sgo mang,德格印经院,,,,
413,Kīrti,kIrti,ཀཱིརྟི།,,Kirti; Kalari Kirti,kA la ri sde; bkra shis lhun grub; kA la ri dgon sde bkra shis lhun grub,,,,,
415,Pajoding ,pha jo sdings,ཕ་ཇོ་སྡིངས།,,Phajoding,,,,,,
416,Luchung Taktsang Gon,stag tshang dgon,སྟག་ཚང་དགོན།,,Luchung,klu chung stag tshang dgon; dga' ldan phun tshogs gling,,,,,
417,Drangjekha ,brang rgyas kha,འབྲང་རྒྱས་ཁ།,,,,,,,,
418,Sang Chokhor ,gsang chos 'khor,གསང་ཆོས་འཁོར།,,,,,,,,
419,Tasho Pomdrak ,khra shod spom brag,ཁྲ་ཤོད་སྤོམ་བྲག།,,,,,,,,
420,Yangri Gar ,yang ri sgar,ཡང་རི་སྒར།,羊日岗寺,yangrigang si; yangmari si; aimari si,,羊日岗寺; 艾玛日寺,,,,
421,Getse Dralek,dge rtse bkra legs,དགེ་རྩེ་བཀྲ་ལེགས།,,Getse Dralak; Dralak Shedrub Dongak Ling; zhala si,bkra lag dgon; gra lag dgon; grwa lag dgon; gra ra ring brag dkar dgon; bkra legs sgrub sde,扎拉寺,,,,
422,Gemang,dge mang ,དགེ་མང་།,格蒙寺,Sershul Gemang; Dzagyu Gemang; Gemang Gon Lhundup Dechen Ling; Drama Barmi Gonlung; gemeng si,bra ma bar mi dgon; bra ma'i sgrub sde; bra ma dgon; rdza yul dge mang dgon dpal lhun grub bde chen gling bshad sgrub nor bu'i dga' tshal,格蒙寺,,,,
423,Pabongkha Hermitage ,pha bong kha ri khrod,ཕ་བོང་ཁ་རི་ཁྲོད།,,,,,,,,
424,E Rigo Chode ,e ri sgo chos sde,ཨེ་རི་སྒོ་ཆོས་སྡེ།,,,e ri sgo bslab gsum chosde; rigo chode,,,,,
425,Lhetag Monastery,lhas ltag dgon,ལྷས་ལྟག་དགོན།,,,,,,,,
426,Chakri Nyidrak Monastery,chags ri nyi grags dgon,ཆགས་རི་ཉི་གྲགས་དགོན།,,Sindzong Osel Drubde,,,,,,
427,Takmogang Kelzang Puntsok Ling,stag mo sgang skal bzang phun tshogs gling,སྟག་མོ་སྒང་སྐལ་བཟང་ཕུན་ཚོགས་གླིང་།,,Dzin Takmo Gon,dzin stag mo dgon,,,,,
430,Rakchab Sengri Dorje Yudzong,rak chab seng ri rdo rje g.yu rdzong,རཀ་ཆབ་སེང་རི་རྡོ་རྗེ་གཡུ་རྫོང་།,,,,,,,,
432,Gyarong Takten Nampar Gyelwai Ling,rgyal rong rtag brtan rnam par rgyal ba'i gling,རྒྱལ་རོང་རྟག་བརྟན་རྣམ་པར་རྒྱལ་བའི་གླིང་།,,Gyarong; Derge Gyarong; Gyarong Takten Namper Gyalwai Ling; jiarong si,sde dge rgyal rong dgon,加绒寺,,,,
434,Magur Namgyel Ling,rma mgur rnam rgyal gling,རྨ་མགུར་རྣམ་རྒྱལ་གླིང་།,古鲁寺,gulu si,,古鲁寺,,,,
435,Chekha,chad kha,འཆད་ཁ།,,Cheka,,,,,,
437,Kangtsa Ganden Chopel Ling,rkang tsha dga' ldan chos 'phel gling,རྐང་ཚ་དགའ་ལྡན་ཆོས་འཕེལ་གླིང་།,岗察寺,Kangtsa; Kangtsa Gonchen; Ganden Chopel Ling; gangca si; gangcha dasi,rkang tsha dgon chen mi 'gyur dga' ldan chos 'phel gling,岗察寺; 刚察大寺,,,,
439,Śrī Siṃha College,shrI sing+ha bshad grwa,ཤྲཱི་སིངྷ་བཤད་གྲྭ།,,Shrisimha college; Dzogchen Sengge Ri College; Sengge Ri Shedra; sri singha; shree singha; shree simha; sri simha; sri singha; shri singha; shri shimha; sri shimha,seng+ge ri bshad grwa,,,,,
440,Tongkhor Ganden Chokhor Ling ,stong 'khor dga' ldan chos 'khor gling,སྟོང་འཁོར་དགའ་ལྡན་ཆོས་འཁོར་གླིང་།,,dongke'er si,,东科尔寺; 洞阔寺,,,,
441,Chorten Tang Tashi Dargye Ling ,mchod rten thang bkra shis dar rgyas gling,མཆོད་རྟེན་ཐང་བཀྲ་ཤིས་དར་རྒྱས་གླིང་།,天堂寺,Chortentang Tashi Dargyeling; tiantang si,,天堂寺,,,,
442,Chunak Tashi Choling,chu nag bkra shis chos gling,ཆུ་ནག་བཀྲ་ཤིས་ཆོས་གླིང་།,曲乃亥寺,Chunak; qunaihai si,,曲乃亥寺; 曲乃海寺,,,,
443,Chakpori,lcags po ri,ལྕགས་པོ་རི།,,Chakpori; Chakri,lcags po ri gso rig slob grwa,药王山,,,,
444,Gegong,dge gong,དགེ་གོང་།,,gegong si,,格贡寺,,,,
445,Khamshe Dargye Ling,khams byed dar rgyas gling,ཁམས་བྱེད་དར་རྒྱས་གླིང་།,,Dzongsar Khamshe,rdzong sar khams bye grwa tshang,,,,,
446,Nyang Tarpa Ling,myang thar pa gling,མྱང་ཐར་པ་གླིང་།,,Tarpa Ling; tabalin si,,塔巴林寺,,,,
447,Langna,glang sna,གླང་སྣ།,郎乃寺,Lang Nak; Langna Gon; nongla si; langnai si,glang nag; thub bstan bsam grub mthong grol gling; tre hor glang sna dgon; dkar mdzes glang sna dgon; glang nag dgon pa,弄拉寺; 郎乃寺,,,,
448,Drango,brag mgo dgon,བྲག་མགོ་དགོན།,,Dabpa dzong drango gon; Drakgo,,,,,,
449,Chagdud Orgyen Ling,lcags mdud o rgyan gling dgon,ལྕགས་མདུད་ཨོ་རྒྱན་གླིང་དགོན།,,Chagdud; Nyarong Chagdud Gon,nyag rong lcags mdud dgon,,,,,
450,Kelzang Sanggye Choling Monastery,bskal bzang sangs rgyas chos gling dgon,བསྐལ་བཟང་སངས་རྒྱས་ཆོས་གླིང་དགོན།,,Gyelwa Kelzang Gon; Nyarong Shar Gyelwa Kelzang Gon,rgyal ba skal bzang dgon; nyag rong shar rgyal ba skal bzang dgon,,,,,
451,Sangngak Dechen Ling,gsang sngags bde chen gling,གསང་སྔགས་བདེ་ཆེན་གླིང་།,,,,,,,,
452,Tsogyel Jomo,mtsho rgyal jo mo,མཚོ་རྒྱལ་ཇོ་མོ།,,jiazi juemu si,ja bzi jo mo dgon; jo mo bde chen mtsho rgyal dgon; nyag rong ja bzi jo mo dgon,甲孜觉母寺,,,,
453,Tubten Gepel,thub bstan dge 'phel,ཐུབ་བསྟན་དགེ་འཕེལ།,,Mangkhar Tubten Gepel; Thubden Gepel,,土丹根培林,,,,
454,Ganden Tashi Choling,dga' ldan bkra shis chos gling,དགའ་ལྡན་བཀྲ་ཤིས་ཆོས་གླིང་།,,,,,,,,
455,Pel Nyenmo Ri Namgyel,dpal snyan mo ri rnam rgyal,དཔལ་སྙན་མོ་རི་རྣམ་རྒྱལ།,年毛寺,Nyenmo,,,,,,
459,Khagya Me Monastery,kha gya smad dgon,ཁ་གྱ་སྨད་དགོན,,Kagyame,,,,,,
461,Drakkar Gyelmo,brag dkar rgyal mo,བྲག་དཀར་རྒྱལ་མོ།,,Drakar,,,,,,
464,Tsang Dondrub Rabten Ling,gtsang dgon don grub rab brtan gling,གཙང་དགོན་དོན་གྲུབ་རབ་བརྟན་གླིང་།,,Dondrub Rabtenling,,,,,,
465,Gangya Drakkar Gon,rgan rgya brag dkar dgon,རྒན་རྒྱ་བྲག་དཀར་དགོན།,甘加白石崖寺,Sangngak Mingye Ling; Khecho Evam Gakyil Ling; Ganjia Baishian Si; Gangya Drakkar; Ganjia Baishian Si,gsang sngags smin rgyas gling; mkha' spyod e waM dga' 'khyil gling,甘加白石崖寺; 甘加白石洞,,,,
466,Chokhor Gyel,chos 'khor rgyal,ཆོས་འཁོར་རྒྱལ།,,Chokhor Gyel Metok Tang; Chokhorgyal; qukejie si; qiongguojie si; quguojie si; qingkeji si,,曲科杰寺; 琼果杰寺; 曲果杰寺; 青稞吉,,,,
467,Tsagen Peshing,tsha gan pe shing,ཚ་གན་པེ་ཤིང་།,,,tsha gan pe shing dga' ldan rab rgyas gling,,,,,
468,Ragya Ganden Tashi Jungne, rwa rgya dga' ldan bkra shis 'byung gnas,རྭ་རྒྱ་དགའ་ལྡན་བཀྲ་ཤིས་འབྱུང་གནས།,,Ragya; Tashi Kundeling; Ragya Ganden Tashi Jungne; Ragya Gon Tashi Kundeling; lajia si; jiaxiang si,bkra shis kun bde gling; rwa rgya dgon bkra shis 'byung gnas bshad sgrub dar rgyas gling,拉加寺; 嘉祥寺,,,,
469,Sershul,ser shul,སེར་ཤུལ།,,sexu si,,色须寺,,,,
470,Jumohor Sangngak Choling,ju mo hor gsang sngags chos gling,འཇུ་མོ་ཧོར་གསང་སྔགས་ཆོས་གླིང་།,,,,,,,,
471,Junyung Hermitage,ju nyung ri khrod,འཇུ་ཉུང་རི་ཁྲོད།,,Ju,ju ri khrod,,,,,
472,Pelpung,dpal spungs,དཔལ་སྤུངས།,,babang si,dpal spungs chos 'khor gling; sde dge dpal spungs dgon pa; thub bstan chos 'khor gling; dpal spungs thub bstan chos 'khor gling,八帮寺; 八蚌寺,,,,
473,Kaṁpo Nenang,kaM po gnas nang,ཀཾ་པོ་གནས་ནང་།,,Lengu Gon,chab mdo kam po gnas nang dgon,,,,,
474,Ngagar Jangchub Ling,rnga sgar byang chub gling ,རྔ་སྒར་བྱང་ཆུབ་གླིང་།,,Ngawa Gar Jangchub Ling; Ngagar; awa si; angwa si,rnga ba sgar,阿哇寺; 昂哇寺,,,,
475,Oso,o bswo,ཨོ་བསྭོ།,,,,,,,,
476,Gartar,mgar thar,མགར་ཐར།,,Gartar Jampa Ling; huiyuan si; gada xiangbalin,ga' thar chos sde; mgar thar dgon byams pa gling,慧远寺; 嘎达向巴林,,,,
479,Terlung Yiga Chodzin Ling,gter lung yid dga chos 'dzin gling,གཏེར་ལུང་ཡིད་དག་ཆོས་འཛིན་གླིང་།,沙沟寺,Terlung Gon; Shagou Si; duilong si,,堆隆寺,,,,
