community_id,tbrc_id,community_name,wylie_name,wylie_name_script,chinese_name,description,wikidata_id
250,G324,Musu Yama Monastery,mus su ya ma dgon,མུས་སུ་ཡ་མ་དགོན།,,"<p>
	Musu Yama, a Sakya monastery in the Mu valley of Lato, was founded in 1459 by <a href=""/biographies/view/Muchen-Sempa-Chenpo-Konchok-Gyeltsen/TBRC_P1034"">Muchen Sempa Chenpo Konchok Gyeltsen</a>.</p>",
251,G1KR1528,Dingma Monastery,lding ma dgon,ལྡིང་མ་དགོན།,,"<p>
	Dingma was a Kadam monastery that was established in the eleventh century in central Tibet in present-day Namling county. It was founded by Ram Dingma Deshek Jungne.&nbsp;</p>",
253,G665,Pelri Tekchen Ling,dpal ri theg chen gling,དཔལ་རི་ཐེག་ཆེན་གླིང།,白日寺,"<p>
	Pelri Tekchenling is a Nyingma monastery in Chonggye that was initially established by <a href=""/biographies/view/Terton-Sherab-Ozer/TBRC_P638"">Terton Sherab Wozer</a> under the patronage of <a href=""/biographies/view/Sonam-Tobgyel/TBRC_P879"">Sonam Tobgyel</a> in the sixteenth century. A branch of <a href=""/geographies/view/Katok/TBRC_g17"">Katok</a>, it was the birthplace and childhood monastery of <a href=""/biographies/view/Jigme-Lingpa/TBRC_p314"">Jigme Lingpa</a>. Pelri is the seat of the <a href=""/incarnation/view/Pelri-/TBRC_R8LS12785"">Pelri </a>incarnation line.&nbsp;</p>",
254,G351,Tseringjong,tshe ring ljongs,ཚེ་རིང་ལྗོངས།,,"<p>
	Tseringjong, located in central Tibet, is a Nyingma monastery that was founded by <a href=""/biographies/view/Jigme-Lingpa/TBRC_P314"">Jigme Lingpa</a> as a hermitage in 1762. It has functioned as an active nunnery since the nineteenth century.&nbsp;</p>",
255,G3386,Driru Gon,'bri ru dgon,འབྲི་རུ་དགོན།,,"<p>
	Driru Monastery, Namgyel Pelbar is a Geluk monastery in Naksho that was founded in 1440 by <a href=""/biographies/view/Zhangzhung-Chowang-Drakpa/TBRC_p4341"">Zhangzhung Chowang Drakpa</a>.</p>",
256,G1237,Den Chokhor,ldan chos 'khor,ལྡན་ཆོས་འཁོར།,,"<p>
	Den Chokhor in Kham was in existence by the mid-fifteenth century when <a href=""/biographies/view/Kunga-Pelden/TBRC_p5552"">Kunga Pelden</a> served as its abbot.</p>",
259,G3774,Sinmo Dzong,srin mo rdzong,སྲིན་མོ་རྫོང།,,"<p>
	Sinmo Dzong is a hermitage in Naksho, Kham. It was the seat of <a href=""/biographies/view/Nyima-Drakpa/TBRC_P425"">Nyima Drakpa</a>&nbsp;who engaged in retreat there between&nbsp;1671 and 1674.</p>",
263,,Khyungpak Tsang,khyung 'phags tshangs,ཁྱུང་འཕགས་ཚངས།,,"<p>
	Khyungpak Tsang was a Bon monastery that was in existence by the thirteenth century, when <a href=""/biographies/view/Donggom-Zhikpo/TBRC_P11MS163"">Donggom Zhikpo</a>, the fifth lineage holder of the <em>Nyengyu Rigpa Chertong</em> tradition of Bon Dzogchen, studied there. It was at Khyungpak Tsang that Donggom received ordi&shy;nation from Khyungpak Gyelbu Lama (khyung &#39;phags rgyal bu bla ma).</p>",
265,,Zhertsa Chode,zher rtsa chos sde,ཞེར་རྩ་ཆོས་སྡེ།,,"<p>
	Zhertsa Chode was in exsitence by at least the sixteenth century when&nbsp;<span style=""font-size:12px;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""color: rgb(51, 51, 51); line-height: 19.6px;""><a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a> served as abbot there.&nbsp;</span></span></span></p>",
266,G1541,Dargye Monastery,dar rgyas dgon,དར་རྒྱས་དགོན།,,"<p>
	Dargye is a Geluk monastery that was founded in the late seventeenth century by the <a href=""/biographies/view/First-Hor-Choje,-Ngawang-Puntsok/TBRC_P1015"">First Hor Choje, Ngawang Puntsok</a>. Some sources credit&nbsp;<a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a> with the foundation of the monastery in the mid sixteenth-century, but this appears to be incorrect. Dargye is the largest of the so-called Hor monasteries in the region, which were established under the paronage of the Ganden Podrang government in Lhasa.</p>",
267,,Potima,po ti ma,པོ་ཏི་མ།,,"<p>
	Potima, a small Geluk community in Kham, was established in 1536 by <a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a>.</p>",
269,G2GS1070,Tanak Serling,rta nag gser gling,རྟ་ནག་གསེར་གླིང།,,"<p>
	Tanak Serling, a Sakya monastery in central Tibet, was founded in 1466 by&nbsp;<a href=""/biographies/view/Gorampa-Sonam-Sengge/TBRC_P1042"">Gorampa Sonam Sengge</a>.</p>",
270,G506,Tanak Tubten Namgyel,rta nag thub bstan rnam rgyal,རྟ་ནག་ཐུབ་བསྟན་རྣམ་རྒྱལ།,达那土旦寺,"<p>
	Tanak Tubten Namgyel is a Sakya monastery in central Tibet in present day Zhentongmong county. It was founded by <a href=""/biographies/view/Gorampa-Sonam-Sengge/TBRC_P1042"">Gorampa Sonam Sengge</a>&nbsp;in 1473.&nbsp;</p>",
271,G241,Japuk Dongak Dargye Ling,bya phug mdo sngags dar rgyas gling,བྱ་ཕུག་མདོ་སྔགས་དར་རྒྱས་གླིང།,,"<p>
	Japuk Dongak Dargye Ling was likely a Kadam monastery in Lhorong in Chamdo, Kham. In the fourteen century, <a href=""/biographies/view/Lobpon-Galeb/TBRC_P8LS12002"">Lobpon Galeb</a> and <a href=""/biographies/view/Takleb-Jangchup-Gyeltsen/TBRC_P8LS12003"">Takleb Jangchup Gyeltsen</a> joined this monastery. It is now a Geluk monastery connected with the Tatsak or <a href=""/geographies/view/Kundeling/TBRC_G219"">Kundeling</a> estate. Japuk was established in 1469 by Tanak Khenchen.</p>
<p>
	&nbsp;</p>",
272,,Sakya Drakshar,sa skya brag shar,ས་སྐྱ་བྲག་ཤར།,,"<p>
	Sakya Drakshar monastery was in existence by at least the 1430s when the Fourth Ngor Khenchen, <a href=""/biographies/view/Kunga-Wangchuk/TBRC_P1040"">Kunga Wangchuk</a>, took novice vows here.</p>",
273,G3JT12631,Shey,shel dkar pho brang,ཤེལ་དཀར་ཕོ་བྲང་།,,"<p>
	The Shey Palace and Monastery is an ancient royal residence of the Namgyel dynasty which reigned over Ladakh from the fifteenth to the nineteenth centuries. The heart of the whole Shey complex is formed by the main temple, the Tsuklakhang, built in the late 1640s under King Sengge Namgyel. Shey is located just outside of Leh city on a crest overlooking the Indus Valley.</p>",Q4521832
274,G4865,Azha Yarpung,'a zha yar spungs dgon,འ་ཞ་ཡར་སྤུངས་དགོན།,雅黄寺,"<p>
	Azha Yarpung is a Geluk monastery that was founded in 1829 in Amdo.</p>",
275,G245,Dreyul Kyetsel,'bras yul skyed tshal,འབྲས་ཡུལ་སྐྱེད་ཚལ།,,"<p>
	Dreyul Kyetsel is a Sakya monastery that was founded by <a href=""/biographies/view/Jamchen-Rapjampa-Sanggye-Pel/TBRC_P1039"">Jamchen Rapjampa Sanggye Pel</a> in 1449 with the patronage of the Rinpunpa. After the Rinpungpa lost power, monks from Dreyul Kyetsel studied at <a href=""/geographies/view/Ngor/TBRC_G211"">Ngor</a> and <a href=""/geographies/view/Sakya/TBRC_G880"">Sakya</a>.&nbsp;</p>",
276,G265,Nyenyo Jagoshong,mnyan yod bya rgod gshongs,མཉན་ཡོད་བྱ་རྒོད་གཤོངས།,,"<p>
	Nyenyo Jagoshong is a Sakya monastery in Tashigang, Tsang. It was founded by <a href=""/biographies/view/Paṇchen-Bumdrak-Sumpa/TBRC_P489"">Paṇchen Bumdrak Sumpa</a> in 1490.</p>",
277,G250,Chokhor Lhunpo,chos 'khor lhun po,ཆོས་འཁོར་ལྷུན་པོ།,,"<p>
	Chokhor Lhunpo is a Sakya monastery near the main monastery of Sakya that was established by <a href=""/biographies/view/Panchen-Ngodrup-Pelwar/TBRC_P986"">Panchen Ngodrup Pelwar</a>.</p>",
278,G3488,Tashi Pende,bkra shis phan bde,བཀྲ་ཤིས་ཕན་བདེ།,,"<p>
	Tashi Pende, a Geluk monastery located in Kongpo in Southern Tibet, was established in the sixteenth century by the <a href=""/biographies/view/Second-Pakpa-Lha,&nbsp;Pakpa-Sanggye-Pel/TBRC_P395"">Second Pakpa Lha,&nbsp;Pakpa Sanggye Pel</a>.</p>",
279,,Demola Monastery,bde mo la dgon,བདེ་མོ་ལ་དགོན།,,"<p>
	Demola Monastery, a Geluk institution in Kongpo, was founded in the fifteenth century by the <a href=""/biographies/view/First-Pakpa-Lha,-Pakpa-Dechen-Dorje/TBRC_P427"">First Pakpa Lha, Pakpa Dechen Dorje</a>.</p>",
280,G1654,Chakra,lcags ra,ལྕགས་ར།,,"<p>
	Chakra, also known as Changra, is a Sakya monastery in Derge, Kham. It was originally founded as a Drigung Kagyu monastery in 1125 or 1135, and in the thirteenth century it was converted to Sakya. The monastery is near the ruins of the summer palace of the Derge royal family.&nbsp;</p>",
282,G1644,Pewar,dpe war,དཔེ་ཝར།,,"<p>
	Pewar is a small Sakya monastery in Derge. It was initially a Drigung Kagyu community dating to the early-thirteenth century, founded by <a href=""/biographies/view/Pelden-Jangchub-Lingpa/TBRC_P2CN11094"">Pelden Jangchub Lingpa</a>, but was soon converted in the wake of the Drigung-Sakya conflict at the end of the century.</p>
<p>
	&nbsp;</p>",
285,G3486,Tashi Cholung,bkra shis chos lung,བཀྲ་ཤིས་ཆོས་ལུང་།,,"<p>
	Tashi Cholung, a Geluk monastery in Nyangpo, was founded by the <a href=""/biographies/view/First-Pakpa-Lha,&nbsp;Pakpa-Dechen-Dorje/TBRC_P427"">First Pakpa Lha,&nbsp;Pakpa Dechen Dorje</a>&nbsp;in the fifteenth century.</p>",
286,G2GS1296,Lho Chotritang,lho chos khri thang,ལྷོ་ཆོས་ཁྲི་ཐང།,,"<p>
	Lho Chotritang was a Geluk monastery in Lhorong that was founded by the <a href=""/biographies/view/First-Pakpa-Lha,-Pakpa-Dechen-Dorje/TBRC_P427"">First Pakpa Lha, Pakpa Dechen Dorje</a>&nbsp;in the fifteenth century under the patronage of Rongpo Chungtsang. It continued to operate in close connection to <a href=""/biographies/view/Chamdo-Monastery/TBRC_G180"">Chamdo Monastery</a>, and in 1698 was said to have about fifty monks. It is famous for a large statue of Maitreya.</p>",
287,G288,Tseten,tshe tan dgon,ཚེ་ཏན་དགོན།,,"<p>
	Tseten is a Geluk monastery in Amdo that was found in 1623. It is the seat of the Tseten Zhabdrung incarnation lineage. It is also the mother monastery of the six Garwaka monasteries.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>",
288,G1KR2304,Tak Monastery,stag dgon,སྟག་དགོན།,大加沿寺,"<p>
	Tak Monastery was the seat of the Tseten Zhabdrung incarnations, who also had a seat at the six Garwaka monasteries. We are not certain of the former location of Tak but in the early 1990s the monastery was moved to Dajiayan near the village of Shidacang to the east of the Hualong County seat of Bayan.&nbsp;</p>
<p>
	&nbsp;</p>",
289,G3222,Tuwa,mthu ba,མཐུ་བ།,,"<p>
	Tuwa, a Geluk monastery in Amdo that was founded in 1640, was&nbsp;historically a retreat center and later became a small printing house under the leadership of <a href=""/biographies/view/Tseten-Zhabdrung-Jigme-Rigpai-Lodro/TBRC_P1646"">Tseten Zhabdrung Jigme Rigpai Lodro</a>.&nbsp;It is one of the Six Garwaka<span style=""color: rgb(51, 51, 51); font-family: Georgia, Times, Palatino; font-size: 14px; line-height: 19.600000381469727px;"">&nbsp;</span>monasteries under the tutelage of Tsetan Zhabdrung.&nbsp;</p>",
290,G314,Dentik,dan tig,དན་ཏིག།,,"<p>
	Dentik is a Geluk monastery in Amdo. It was first founded in the tenth century and converted to Geluk in the early seventeenth century. Revered as a foremost power-place associated with the Buddha-mind through Kham and Amdo, Dentik is also closely associated with the second propagation of Buddhism in Tibet. It was at Dentik that the three Tibetan hermits <a href=""/biographies/view/Mar-Śākyamuni/TBRC_P4643"">Mar Śākyamuni</a>, <a href=""/biographies/view/Tsang-Rabsel/TBRC_P4642"">Tsang Rabsel</a> and <a href=""/biographies/view/Yo-Gejung/TBRC_P4339"">Yo Gejung</a> accepted <a href=""/biographies/view/Gongpa-Rabsel/TBRC_P1523"">Gongpa Rabsel</a>, who became one of the most important figures of the revival, as their student. Legend has it that the ten men of Utsang who were to bring Buddhism back to central Tibet were ordained here by Gongpa Rabsel. Lhalung <a href=""/biographies/view/Pelgyi-Dorje/TBRC_P6986"">Pelgyi Dorje</a> is said to have stayed at Dentik toward the end of his life.&nbsp;</p>
<p>
	&nbsp;</p>",
291,G4593,Neuzur,sne'u zur,སྣེའུ་ཟུར།,乃苏寺,"<p>
	Neuzur is a Kadampa monastery in central Tibet that was founded in the twelfth century by <a href=""/biographies/view/Neuzurpa-Yeshe-Bar/TBRC_P1316"">Neuzurpa Yeshe Bar</a>.</p>",
292,G439,Tolung Takma,stod lung thag ma,སྟོད་ལུང་ཐག་མ།,,"<p>
	Tolung Takma is a Kadampa monastery in central Tibet that was in existence by at least the twelfth century when <a href=""/biographies/view/Duldzinpa-Takmapa-Kawa-Darseng/TBRC_P136"">Duldzinpa Takmapa Kawa Darseng</a> settled there.</p>",
293,G4188,Lhodrak Drowa Gon,lho brag sgro ba dgon,ལྷོ་བྲག་སྒྲོ་བ་དགོན།,,"<p>
	Drowa Gon, a Kadam monastery, was located in Lhodrak. It was in existence by the twelfth century, when <a href=""/biographies/view/Shupu-Namkha-Sengge/TBRC_P1318"">Shupu Namkha Sengge</a> served as its abbot. It was one of the early seats of the Shupu lineage of the Kadam teachings.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>",
294,G156,Purbuchok,phur bu lcog,ཕུར་བུ་ལྕོག།,,"<p>
	Purbuchok&nbsp;is one of the largest hermitages above <a href=""/geographies/view/Sera-Monastery/TBRC_g154"">Sera Monastery</a>. Said to be built on the site of a <a href=""/biographies/view/Padmasambhava/TBRC_p4956"">Padmasambhava</a> meditation cave, it was first developed by the Tselpa Kagyu founder <a href=""/biographies/view/Lama-Zhang-Yudrakpa/TBRC_p1857"">Lama Zhang Yudrakpa</a> in the twelfth century, and converted to the Geluk tradition by the <a href=""/biographies/view/First-Purchok,-Ngawang-Jampa/TBRC_p108"">First Purchok, Ngawang Jampa</a> in the eighteenth century.</p>",
295,G223,Ngulchu Hermitage,dngul chu ri khrod,དངུལ་ཆུ་རི་ཁྲོད།,欧曲寺,"<p>
	Ngulchu is a Geluk hermitage -- orginally a Kadam hermitage -- in western Tsang. <a href=""/biographies/view/Gyelse-Tokme-Zangpo/TBRC_p1830"">Gyelse Tokme Zangpo</a> resided there in retreat for twenty years in the mid-fourteenth century.</p>",
296,G1846,Sekya Tashi Gepel Ling,se kyA bkra shis dge 'phel gling,སེ་ཀྱཱ་བཀྲ་ཤིས་དགེ་འཕེལ་གླིང།,,"<p>
	Sekya Tashi Gepel Ling is a Geluk monastery in Amdo that was founded in the early nineteenth century.</p>",
297,,Sang Ngak Tekchen Choling,gsang sngags theg chen chos gling,གསང་སྣགས་ཐེག་ཆེན་ཆོས་གླིང།,,"<p>
	Sang Ngak Tekchen Choling is a Bon monastery in southern Tibet that was founded by Lama Jowo Yungdrung Kyi.&nbsp;</p>",
298,G308,Dakpo Dratsang,dwags po grwa tshang,དྭགས་པོ་གྲྭ་ཚང་།,,"<p>
	Dakpo Dratsang was founded by the <a href=""/biographies/view/Seventh-Ganden-Tripa,-Lodro-Tenpa/TBRC_P4636"">Seventh Ganden Tripa, Lodro Tenpa</a>, in the mid-fifteenth century. It became one of the largest monasteries in southern Tibet.</p>",
305,G4607,Rato,rwa stod,རྭ་སྟོད།,热堆寺,"<p>
	Rato is a Geluk monastery in Chushur that was founded by the Kadam master <a href=""/biographies/view/Gyachang-Ruba/TBRC_P6472"">Gyachang Ruba</a> in 1205, apparently originally under the name Rawa. In the fifteenth century <a href=""/biographies/view/Kunkhyen-Yonten-Gyatso/TBRC_P426"">Kunkhyen Yonten Gyatso</a> taught there, strongly advocating&nbsp;the teachings of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>, and the community split into Rawa To (Upper Rawa), which followed the Geluk tradition, and Rawa Me (Lower Rawa), which followed Sakya.</p>",
306,G2440,Nyetang Longdol Hermitage,mnyes thang klong rdol ri khrod,མཉེས་ཐང་ཀློང་རྡོལ་རི་ཁྲོད།,,"<p>
	Nyetang Longdol Hermitage in Nyetang was originally established by <a href=""/biographies/view/Tsangpa-Gyare/TBRC_p909"">Tsangpa Gyare</a> in the twelfth century. It was converted to the Geluk tradition from Drukpa Kagyu around the eighteenth century when <a href=""/biographies/view/Longdol-Ngawang-Lobzang/TBRC_p22"">Longdol Ngawang Lobzang</a> resided there for an extensive period of time.</p>",
307,G4711,Cheri Monastery,lcags ri,ལྕགས་རི།,,"<p>
	Cheri Monastery, also known as Chakri Dorjeden, is a hermitage and monastery in the Upper Thimphu valley in Bhutan. It was built in 1619 by <a href=""/biographies/view/Zhabdrung-Ngawang-Namgyel/TBRC_P509"">Zhabdrung Ngawang Namgyel</a> as his first monastery in Bhutan, where he established the first monastic body.</p>",
308,G218,Tango,rta mgo,རྟ་མགོ།,,"<p>
	In the thirteenth&nbsp;century, <a href=""http://www.treasuryoflives.org/biographies/view/Phajo-Drugom-Zhigpo-Phajo-Drugom-Zhigpo/P7852"">Phajo Drugom Zhigpo</a> established a meditation hermitage near the present Tango Shedra in Bhutan, formerly known as Tango Choying Dzong. By the late sixteenth&nbsp;century, <a href=""http://www.treasuryoflives.org/biographies/view/tshe-dbang-bstan-'dzin/P7854"">Mipam Tsewang Tendzin</a>, who was the grandson of <a href=""http://www.treasuryoflives.org/biographies/view/Drukpa-Kunle/P816"">Drukpa Kunle</a>&nbsp;and also considered a reincarnation of Phajo Drugom Zhigpo, controlled the site.&nbsp; In 1616, the Drukpa Kagyu master <a href=""http://www.treasuryoflives.org/biographies/view/Zhabdrung-Ngawang-Namgyel/P509"">Zhabdrung Ngawang Namgyel</a> arrived in Bhutan, having left <a href=""http://www.treasuryoflives.org/institution/Ralung-Monastery"">Ralung Monastery</a> in Tibet. Mipham Tshewang Tenzin offered him Tango Choying Dzong as a place to stay, in part because Mipham Tshewang Tenzin had received his ordination vows from the Zhabdrung&rsquo;s grandfather, Mipham Chogyal.</p>
<p>
	Mipham Tshewang Tenzin also gave the Zhabdrung a consort named Damcho Tenzin, in the hopes he would produce an heir. However, it was not to be and Zhabdrung returned her to Mipham Tshewang Tenzin. The two went on to have a son, <a href=""http://www.treasuryoflives.org/biographies/view/Tendzin-Rabgye/7622"">Tendzin Rabgye</a>, who would later serve as the Fourth&nbsp;Druk Desi, and who would renovate and expand Tango as well as Paro Taktsang. Tango was completed in 1688, and Second&nbsp;Je Khenpo <a href=""http://www.treasuryoflives.org/biographies/view/Je-Khenpo-02-Sonam-Ozer/7601"">Sonam Ozer</a> assisted with the consecration ceremony.&nbsp; Later, the Thirteenth&nbsp;Je Khenpo <a href=""http://www.treasuryoflives.org/biographies/view/Je-Khenpo-13-Yonten-Taye/8028"">Yonten Taye</a> performed additional ceremonies at the site in 1780. In 1987, the Tango monastic institute became a shedra.&nbsp;Today it functions as both a center of learning and meditation.</p>",
309,G00JR2680,Bangri Jokpo,bang ri 'jog po,བང་རི་འཇོག་པོ།,,"<p>
	Bangri Jokpo was a Nyingma monastic community in Kongpo established in the early seventeenth century by <a href=""/biographies/view/Jatson-Nyingpo/TBRC_P882"">Jatson Nyingpo</a>.</p>",
310,G2360,Dar Chode,'dar chos sde,འདར་ཆོས་སྡེ།,,"<p>
	Dar Chode in Tsang was a Geluk institution that was in existence at least by the first half of the fifteenth century when the <a href=""/biographies/view/Eleventh-Ganden-Tripa,-Lobzang-Drakpa/TBRC_P390"">Eleventh Ganden Tripa, Lobzang Drakpa</a>, studied here as a novice monk.</p>",
311,G2359,Ladring Chode,bla 'bring chos sde,བླ་འབྲིང་ཆོས་སྡེ།,,"<p>
	Ladring Chode was apparently a community in southern Tibet, possibly Kadam or Geluk, existing certainly by the middle of the fifteenth century, when the <a href=""/biographies/view/Twelfth-Ganden-Tripa,-Lekpai-Lodro/TBRC_P384"">Twelfth Ganden Tripa, Lekpai Lodro</a>, received his novice vows there.</p>",
312,G3322,Nyima Tang Monastery,nyi ma thang dgon,ཉི་མ་ཐང་དགོན།,,"<p>
	Nyima Tang is a Geluk monastery in central Tibet that was founded by <a href=""/biographies/view/Nyelgo-Rinchen-Samdrub/TBRC_P1589"">Nyelgo Rinchen Samdrub</a>, a disciple of <a href=""/biographies/view/Tsongkhapa/TBRC_p64"">Tsongkhapa</a>. In the fifteenth century is was a teaching college affiliated with <a href=""/geographies/view/Sangpu-Monastery/TBRC_g226"">Sangpu Monastery</a>. It was originally founded in the seventh century and was converted to Kadampa by the eleventh century. It is currently in ruins.&nbsp;</p>",
314,G402,Khardo Hermitage,mkhar rdo ri khrod,མཁར་རྡོ་རི་ཁྲོད།,卡多寺,"<p>
	Khardo, one of the hermitages above Sera Monastery, was founded in 1706 by the <a href=""/biographies/view/First-Khardo,-Zopa-Gyatso/TBRC_P38"">First Khardo, Zopa Gyatso</a>. It&#39;s one of the ten hermitages belonging to <a href=""/geographies/view/Sera-Je-College/TBRC_G155"">Sera Je College</a>.</p>",
315,G77,Ganden Jangtse College,dga' ldan byang rtse drwa tshang,དགའ་ལྡན་བྱང་རྩེ་དྲྭ་ཚང་།,,"<p>
	Ganden Jangtse is one of the two teaching colleges of <a href=""/geographies/view/Ganden-Monaster/TBRC_G337"">Ganden Monaster</a>y in central Tibet. It was founded by <a href=""/biographies/view/Namkha-Pelzangpo/TBRC_P3495"">Namkha Pelzangpo</a>, a disciple of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>.&nbsp;&nbsp;</p>",
316,G236,Gyuto Dratsang,rgyud stod grwa tshang,རྒྱུད་སྟོད་གྲྭ་ཚང་།,,"<p>
	Gyuto, the Upper Tantric College, is one of the two main Geluk tantric colleges of central Tibet. It was established in 1474 or 1475 by <a href=""/biographies/view/Kunga-Dondrub/TBRC_P995"">Kunga Dondrub</a>, the disciple of Gyume&#39;s founder <a href=""/biographies/view/Sherab-Sengge/TBRC_P2093"">Sherab Sengge</a>. In 1485 Kunga Dondrub was credited with saving Lhasa from a flood and granted perpetual ownership of&nbsp;<a href=""/geographies/view/Ramoche-Tsuklakhang/TBRC_G4552"">Ramoche Tsuklakhang</a> in Lhasa, said to have been built to house the Buddha statue brought to Tibet by King <a href=""/biographies/view/Songtsen-Gampo/TBRC_P8067"">Songtsen Gampo</a>&#39;s Chinese queen Wencheng, after which Kunga Dondrub moved Gyuto into the Ramoche complex. The main study at Gyuto is of the tantric systems of the Akṣobhya form of Guhyasamāja, the Luipa tradition of Cakrasaṃvara, and Thirteen-couple Vajrabhairava.</p>
<p>
	&nbsp;</p>",
317,G405,Takpu Chode,stag phu chos sde,སྟག་ཕུ་ཆོས་སྡེ།,,"<p>
	Takpu Chode is an important Geluk monastery in central Tibet that was founded as a Kadam institution by <a href=""/biographies/view/Rinchen-Nyingpo/TBRC_P404"">Rinchen Nyingpo</a>, a student of <a href=""/biographies/view/Atisha/TBRC_P3379"">Atisha</a>, in either the late eleventh or early twelfth century.</p>",
318,G3011,Meldro Chakar Gon,mal gro cha dkar dgon,མལ་གྲོ་ཆ་དཀར་དགོན།,,"<p>
	Meldro Chakar Gon was a Geluk monastery in Meldro Gungkar. It appears to have been abandoned in the sixteenth century when Drigung forces attacked.</p>",
319,G304,Ganden Shartse College,dga' ldan shar rtse grwa tshang,དགའ་ལྡན་ཤར་རྩེ་གྲྭ་ཚང་།,,"<p>
	Ganden Shartse is one of the two teaching colleges of <a href=""/geographies/view/Ganden-Monastery/TBRC_G337"">Ganden Monastery</a>. There are eleven residential houses in the college.</p>",
321,G2510,Rakadrak Hermitage,ra kha brag ri khrod,ར་ཁ་བྲག་རི་ཁྲོད།,,"<p>
	Rakhadrak is a hermitage above <a href=""/geographies/view/Sera-Monastery/TBRC_g154"">Sera Monastery</a>. It was established in the seventeenth century either by <a href=""/biographies/view/Drubkhang-Gelek-Gyatso/TBRC_p1005"">Drubkhang Gelek Gyatso</a> or Rakhadrak Azhu Sonam. It is renowned for being the site where <a href=""/biographies/view/Tsongkhapa/TBRC_p64"">Tsongkhapa</a> composed <i>The Essence of Eloquence that Distinguishes Between the Provisional and Definitive Meaning of the Scriptures</i><span style=""font-style: normal"">, and where he received a delegation from China requesting his presence at the Imperial court. </span></p>",
322,,Sera Utse,se ra dbu rtse,སེ་ར་དབུ་རྩེ།,,"<p>
	Sera Utse, also known as Drubkhang hermitage, is a hermitage located to the north above <a href=""/geographies/view/Sera/TBRC_G154"">Sera Monastery</a>, a major Geluk monastery in central Tibet. It was founded in 1705 by <a href=""/biographies/view/Drubkhang-Gelek-Gyatso-/TBRC_P1005"">Drubkhang Gelek Gyatso</a> in a location where <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a> is said to have engaged in retreat.</p>",
323,G3487,Drula,'bru la,འབྲུ་ལ།,,"<p>
	Drula was founded by <a href=""/biographies/view/Dawa-Zangpo/TBRC_P7759"">Dawa Zangpo</a> in the fifteenth or sixteenth century. Dawa Zangpo was a disciple of the <a href=""/biographies/view/First-Dalai-Lama-Gendun-Drub/TBRC_P80"">First Dalai Lama, Gendun Drub</a>. It is affiliated with <a href=""/geographies/view/Sera-Me-College/TBRC_G237"">Sera Me College</a>.</p>",
324,G2365,Taktse Rinchen Gang,stag rtse rin chen sgang,སྟག་རྩེ་རིན་ཆེན་སྒང།,,"<p>
	Taktse Rinchen Gang is the monastery founded in 1119 by the famous Kadampa master&nbsp;<a href=""http://www.treasuryoflives.org/biographies/view/Gyergom-Zhonnu-Dragpa/TBRC_P3476"">Gyergom Zhonnu Drakpa</a>&nbsp;(1090-1171). It seems that it was still a Kadampa monastery in 1346, the year that&nbsp;<a href=""http://www.treasuryoflives.org/biographies/view/Drubchen-Namkha-Gyeltsen/TBRC_P1317"">Drubchen Namkha Gyeltsen</a>&nbsp;took ordination there. It later became a Geluk monastery.&nbsp;<a href=""http://www.treasuryoflives.org/biographies/view/Sera-Jetsun-Chokyi-Gyaltsen/TBRC_P477"">Sera Jetsun Chokyi Gyeltsen</a>&nbsp;(1469-1544/1546) became abbot of Rinchen Gang in 1522. The twenty-fourth&nbsp; <a href=""http://www.treasuryoflives.org/biographies/view/Ganden-Tripa-Jampa-Gyatso/TBRC_P4434"">Ganden Tripa Jampa Gyatso</a>&nbsp;(1516-1590) studied there as a child and later became its abbot, but was forced to flee when the monastery was attacked by the Pakmodrupa army.</p>",
325,G4164,Kyormolung,skyor mo lung,སྐྱོར་མོ་ལུང།,觉摩隆寺,"<p>
	Kyormolung Monastery, in Tolung, was founded in the twelfth century by the Kadam master <a href=""/biographies/view/Balti-Wangchuk-Tsultrim/TBRC_P1320"">Balti Wangchuk Tsultrim</a>, and converted to the Geluk tradition in the fourteenth century.</p>",
326,G3012,Drakwar Monastery,brag dbar dgon,བྲག་དབར་དགོན།,,"<p>
	Drakwar is a Geluk monastery in central Tibet. Originally a Kagyu monastery that was founded by Tromzher Ozer Sengge, it was converted in the sixteenth century by Khedrub Tendar.</p>",
